pincode,radius_km
110001,4.47
110002,1.16
110003,1.7
110005,30.0
110006,0.89
110007,1.54
110008,1.72
110009,1.07
110010,2.19
110011,0.1
110012,0.93
110013,0.45
110014,0.85
110015,1.78
110016,0.97
110017,1.17
110018,1.45
110019,2.68
110020,1.78
110021,2.19
110022,0.9
110023,0.69
110024,2.02
110025,1.0
110026,2.82
110027,0.84
110028,0.21
110029,4.32
110030,0.86
110031,1.87
110032,1.41
110033,0.88
110034,1.2
110035,1.5
110036,1.77
110037,2.22
110038,2.92
110039,0.0
110040,0.31
110041,3.08
110042,1.77
110043,30.0
110044,4.39
110045,30.0
110046,0.29
110047,2.25
110048,0.56
110049,0.88
110051,2.25
110052,1.15
110053,7.65
110054,2.07
110055,1.7
110057,0.59
110058,2.08
110059,19.92
110061,22.93
110062,0.68
110063,0.88
110064,30.0
110065,0.69
110066,0.34
110067,0.95
110068,0.0
110070,0.9
110071,22.7
110072,30.0
110073,30.0
110074,1.46
110075,1.53
110076,0.89
110077,2.08
110078,4.86
110080,0.91
110081,0.0
110082,0.0
110083,1.03
110084,1.26
110085,2.48
110086,0.58
110087,0.9
110088,1.88
110089,0.0
110090,3.7
110091,2.52
110092,3.73
110093,1.58
110094,1.08
110095,1.07
110096,0.91
121001,25.52
121002,10.03
121003,5.07
121004,30.0
121005,1.45
121006,1.71
121007,0.76
121010,30.0
121101,30.0
121102,30.0
121103,30.0
121105,30.0
121106,30.0
121107,30.0
122001,1.59
122003,1.42
122004,0.04
122006,4.33
122017,2.51
122051,0.38
122101,0.13
122102,0.96
122103,2.58
122104,0.28
122105,3.25
122107,17.61
122108,0.0
122413,0.0
122414,1.63
122502,0.42
122503,0.23
122504,7.66
122505,0.78
122506,0.16
122508,0.56
123001,6.9
123021,0.09
123023,0.02
123024,0.02
123027,0.04
123028,9.28
123029,0.36
123034,3.2
123035,0.06
123101,9.56
123102,0.14
123103,0.76
123106,0.03
123301,0.13
123302,0.02
123303,0.05
123401,4.14
123411,0.02
123412,5.25
123501,0.06
124001,28.44
124010,29.03
124021,14.23
124022,17.51
124102,8.57
124103,9.6
124104,10.94
124105,5.75
124106,9.6
124107,9.36
124108,7.08
124109,4.16
124111,8.16
124112,30.0
124113,11.16
124142,11.04
124146,12.09
124201,13.14
124202,18.19
124303,8.47
124401,13.89
124404,4.11
124406,14.01
124411,12.9
124412,8.73
124501,13.11
124504,6.7
124505,10.9
124506,3.04
124507,0.0
124508,12.35
124514,9.03
125001,30.0
125004,20.15
125005,10.55
125006,22.95
125007,1.49
125011,2.03
125033,30.0
125037,0.01
125038,0.06
125039,30.0
125042,6.14
125044,0.0
125047,6.76
125048,30.0
125049,0.03
125050,1.35
125051,3.25
125052,0.92
125053,12.17
125054,0.0
125055,0.22
125058,0.0
125060,2.44
125075,0.0
125076,0.0
125077,0.0
125078,0.88
125101,0.0
125102,0.0
125103,0.0
125104,0.15
125106,0.0
125110,0.0
125111,2.34
125112,0.0
125113,0.0
125120,6.93
125121,30.0
125133,17.99
125201,0.0
126102,6.11
126112,5.43
126114,10.0
126116,0.0
126152,0.0
127021,0.0
127022,0.0
127025,0.0
127026,1.73
127027,0.0
127028,0.0
127029,0.0
127030,0.0
127031,0.0
127032,15.98
127035,0.0
127040,0.0
127041,0.0
127042,0.0
127043,0.0
127046,0.0
127111,0.0
127114,0.0
127201,0.0
127306,0.0
127307,0.0
127308,0.0
127309,0.0
127310,0.0
127311,0.0
127312,0.0
131001,4.43
131021,0.41
131022,30.0
131023,28.36
131024,23.08
131027,0.84
131028,11.03
131029,1.95
131039,11.32
131101,3.2
131102,10.32
131103,7.29
131301,2.46
131302,30.0
131304,13.61
131305,6.15
131306,9.64
131402,0.15
131403,8.23
131408,2.62
131409,16.05
132001,26.03
132023,2.53
132024,6.96
132037,16.35
132041,22.9
132103,17.08
132104,30.0
132107,29.96
132113,30.0
132114,30.0
132115,30.0
132116,30.0
132117,15.72
132122,30.0
132140,0.87
132157,30.0
133001,7.49
133004,5.43
133005,4.91
133101,8.75
133102,9.84
133103,12.8
133104,30.0
133201,1.48
133202,3.53
133203,30.0
133204,7.63
133205,25.81
133206,0.99
133302,30.0
134003,13.21
134007,21.33
134008,30.0
134102,8.66
134107,0.0
134109,6.93
134112,10.92
134113,0.5
134118,30.0
134201,8.29
134202,3.07
134203,19.56
134204,9.38
134205,14.82
135001,30.0
135002,30.0
135003,30.0
135004,22.32
135021,30.0
135101,27.0
135102,13.05
135103,6.17
135106,28.74
135133,30.0
136020,0.0
136021,0.0
136026,0.0
136027,1.27
136030,0.0
136033,0.0
136034,0.0
136035,0.01
136042,0.0
136043,0.0
136044,0.0
136117,0.0
136118,1.67
136119,0.0
136128,0.0
136129,0.0
136130,0.0
136131,0.0
136132,0.19
136135,0.0
136136,0.0
136156,0.0
140001,30.0
140101,6.06
140102,12.13
140103,13.3
140108,5.5
140109,14.48
140110,4.24
140111,30.0
140112,30.0
140113,30.0
140114,12.01
140115,30.0
140116,14.35
140117,5.38
140118,30.0
140119,15.98
140123,15.81
140124,30.0
140125,25.6
140126,20.45
140127,30.0
140128,12.12
140133,10.37
140201,0.0
140301,30.0
140306,30.0
140307,9.0
140308,0.4
140401,21.03
140402,30.0
140405,3.32
140406,30.0
140408,7.01
140412,16.85
140413,7.77
140417,30.0
140501,3.57
140506,6.54
140507,9.89
140601,8.94
140602,23.7
140603,4.67
140701,30.0
140702,13.31
140802,5.54
140901,10.53
141001,1.49
141002,8.61
141003,1.18
141007,3.68
141008,7.86
141010,1.22
141013,1.08
141014,1.73
141015,3.63
141101,30.0
141102,30.0
141103,1.59
141104,30.0
141105,1.76
141107,30.0
141108,30.0
141109,30.0
141110,30.0
141112,12.86
141113,30.0
141114,30.0
141115,18.82
141116,27.61
141117,30.0
141118,30.0
141119,30.0
141120,30.0
141121,30.0
141122,30.0
141123,14.64
141125,30.0
141126,8.55
141127,30.0
141202,1.93
141203,30.0
141204,30.0
141205,30.0
141206,30.0
141401,30.0
141411,4.4
141412,30.0
141413,30.0
141414,3.89
141415,2.73
141416,2.64
141417,30.0
141418,30.0
141419,2.06
141421,30.0
141422,1.96
141801,7.46
142001,0.0
142002,6.58
142003,11.82
142011,11.07
142021,1.63
142022,30.0
142023,11.76
142024,30.0
142025,30.0
142026,0.95
142027,2.22
142028,15.33
142029,1.94
142030,30.0
142031,2.32
142032,3.96
142033,30.0
142034,16.47
142035,30.0
142036,12.58
142037,8.4
142038,16.58
142039,9.31
142040,17.2
142041,30.0
142042,9.68
142043,16.48
142044,9.16
142045,14.52
142046,9.08
142047,2.51
142048,22.21
142049,16.14
142050,16.37
142052,28.3
142053,10.12
142054,6.75
142055,7.29
142056,6.48
142057,30.0
142058,24.56
142060,12.26
143001,1.44
143002,2.07
143006,1.19
143008,7.45
143009,3.83
143022,5.21
143101,5.84
143102,5.21
143103,16.16
143105,4.58
143107,6.46
143108,12.6
143109,24.49
143111,4.01
143112,3.43
143113,3.64
143114,3.37
143115,14.99
143116,7.47
143117,7.42
143118,9.89
143119,7.65
143149,3.2
143201,2.95
143202,6.53
143203,6.11
143204,1.33
143205,2.74
143301,3.94
143302,10.3
143303,0.84
143304,6.36
143305,8.96
143402,4.83
143406,10.73
143407,21.29
143408,6.47
143409,30.0
143410,10.36
143411,2.58
143412,3.17
143413,30.0
143414,2.4
143415,4.65
143416,14.0
143419,9.73
143422,1.82
143501,3.68
143502,4.66
143504,16.15
143505,1.39
143506,5.99
143507,10.86
143511,4.43
143512,27.32
143513,8.83
143514,3.38
143515,3.4
143516,4.31
143517,3.36
143518,17.08
143519,3.97
143520,3.87
143521,0.0
143525,6.97
143526,5.78
143527,7.05
143528,26.33
143529,5.08
143530,4.54
143531,8.78
143532,30.0
143533,2.27
143534,5.62
143601,5.41
143602,5.75
143603,13.79
143604,11.84
143605,4.12
143606,20.17
144001,0.02
144002,4.27
144003,9.88
144004,0.4
144005,0.0
144006,0.0
144008,4.11
144009,0.0
144020,2.91
144021,6.29
144022,2.6
144024,1.71
144025,1.76
144026,0.89
144028,2.03
144029,11.59
144030,11.34
144032,16.51
144033,30.0
144034,12.34
144035,17.31
144036,11.08
144037,22.42
144039,29.9
144040,8.94
144041,29.85
144042,0.0
144043,9.61
144044,0.0
144101,2.28
144102,5.47
144103,8.59
144104,9.08
144105,30.0
144106,5.67
144201,0.14
144202,30.0
144204,30.0
144206,30.0
144207,30.0
144208,30.0
144209,30.0
144210,30.0
144211,8.04
144212,20.69
144213,20.43
144214,30.0
144216,30.0
144221,30.0
144222,26.65
144223,30.0
144224,30.0
144301,5.02
144302,20.1
144303,4.17
144305,30.0
144306,24.13
144311,30.0
144401,1.48
144402,4.89
144403,3.04
144404,30.0
144405,21.64
144406,30.0
144407,4.45
